Datetime;Ticker;superior_POI;Close;Timeframe;DIRECTION;first_fractal_Datetime;first_fractal;first_fractal_price;second_fractal_Datetime;second_fractal;second_fractal_price
2021-12-20 12:30:00+00:00;USDJPY;5;113,51100158691406;M30;SELL;2021-12-17 00:30:00+00:00;lower_high;113,86820188519425;2021-12-17 13:00:00+00:00;lower_low;113,10086042473438
2021-12-20 12:30:00+00:00;USDCHF;6;0,92316997051239;M30;;2021-12-15 19:00:00+00:00;higher_high;0,9295151277642362;2021-12-17 09:30:00+00:00;lower_low;0,916725937408324
2021-12-20 12:30:00+00:00;USDCAD;6;1,2929500341415403;M30;;2021-12-15 19:00:00+00:00;higher_high;1,293854593121205;2021-12-16 14:00:00+00:00;higher_low;1,2757969034490242
2021-12-20 12:30:00+00:00;NZDUSD;6;0,6719075441360474;M30;;2021-12-15 19:00:00+00:00;lower_low;0,6705467012398242;2021-12-16 14:00:00+00:00;higher_high;0,6834420854477301
2021-12-20 12:30:00+00:00;NZDJPY;0;76,21800231933594;M30;BUY;2021-12-15 03:00:00+00:00;higher_low;76,4658205776281;2021-12-16 13:30:00+00:00;higher_high;77,98229901428587
2021-12-20 12:30:00+00:00;NZDCHF;6;0,6198099851608276;M30;;2021-12-16 20:00:00+00:00;higher_low;0,6231896313119233;2021-12-17 21:30:00+00:00;lower_high;0,6255005564733049
2021-12-20 12:30:00+00:00;NZDCAD;6;0,8680700063705444;M30;;2021-12-16 13:30:00+00:00;higher_high;0,8730405280232227;2021-12-17 11:00:00+00:00;higher_low;0,8648700936448468
2021-12-20 12:30:00+00:00;GBPUSD;6;1,3217023611068726;M30;;2021-12-15 19:00:00+00:00;lower_low;1,3176248973104407;2021-12-16 13:00:00+00:00;higher_high;1,3374534300000385
2021-12-20 12:30:00+00:00;GBPNZD;6;1,967479944229126;M30;;2021-12-17 09:30:00+00:00;lower_high;1,9693391135311733;2021-12-17 21:30:00+00:00;higher_low;1,9593016801466785
2021-12-20 12:30:00+00:00;GBPJPY;6;149,98599243164062;M30;;2021-12-16 13:00:00+00:00;higher_high;152,64833580679766;2021-12-16 20:00:00+00:00;higher_low;151,05679267013494
2021-12-20 12:30:00+00:00;GBPCHF;0;1,2201299667358398;M30;BUY;2021-12-15 16:30:00+00:00;higher_low;1,221801247051991;2021-12-16 12:00:00+00:00;higher_high;1,235999915131911
2021-12-20 12:30:00+00:00;GBPCAD;6;1,708359956741333;M30;BUY;2021-12-16 11:00:00+00:00;higher_low;1,6939831511331842;2021-12-16 13:00:00+00:00;higher_high;1,7096380965601985
2021-12-20 12:30:00+00:00;GBPAUD;6;1,8595000505447388;M30;;2021-12-16 11:30:00+00:00;lower_low;1,8412612403118669;2021-12-17 04:00:00+00:00;lower_high;1,8623605169130164
2021-12-20 12:30:00+00:00;EURUSD;6;1,127268671989441;M30;;2021-12-17 05:30:00+00:00;higher_high;1,1355522503139517;2021-12-17 21:30:00+00:00;higher_low;1,1237572647920235
2021-12-20 12:30:00+00:00;EURNZD;6;1,6775599718093872;M30;;2021-12-17 10:30:00+00:00;higher_high;1,675595371643115;2021-12-17 16:00:00+00:00;higher_low;1,6673152079840154
2021-12-20 12:30:00+00:00;EURJPY;6;127,90599822998048;M30;;2021-12-16 13:30:00+00:00;higher_high;129,64746912274703;2021-12-16 16:00:00+00:00;higher_low;128,40962081403518
2021-12-20 12:30:00+00:00;EURGBP;1;0,8526700139045715;M30;SELL;2021-12-16 07:30:00+00:00;lower_high;0,852898908312337;2021-12-16 12:00:00+00:00;lower_low;0,8451317033263128
2021-12-20 12:30:00+00:00;EURCHF;6;1,0403000116348269;M30;;2021-12-16 12:30:00+00:00;higher_high;1,0467545393957658;2021-12-16 19:30:00+00:00;higher_low;1,0403759130777537
2021-12-20 12:30:00+00:00;EURCAD;6;1,4569499492645264;M30;;2021-12-17 13:00:00+00:00;lower_high;1,4537474355751694;2021-12-17 16:00:00+00:00;higher_low;1,444123267971456
2021-12-20 12:30:00+00:00;EURAUD;2;1,5858099460601809;M30;SELL;2021-12-14 13:30:00+00:00;lower_high;1,590618507976066;2021-12-16 12:00:00+00:00;lower_low;1,565273507644545
2021-12-20 12:30:00+00:00;CHFJPY;6;122,94000244140624;M30;;2021-12-15 15:30:00+00:00;lower_low;122,80007353625024;2021-12-16 14:00:00+00:00;higher_high;123,980018996576
2021-12-20 12:30:00+00:00;CADJPY;6;87,77200317382812;M30;;2021-12-16 12:00:00+00:00;higher_high;89,44922897780006;2021-12-16 15:00:00+00:00;higher_low;88,61384091704909
2021-12-20 12:30:00+00:00;CADCHF;0;0,713729977607727;M30;BUY;2021-12-15 16:30:00+00:00;higher_low;0,7154421790614628;2021-12-16 12:00:00+00:00;higher_high;0,7249385562355721
2021-12-20 12:30:00+00:00;AUDUSD;6;0,7106260061264038;M30;;2021-12-14 03:30:00+00:00;lower_low;0,7090670238331825;2021-12-16 13:30:00+00:00;higher_high;0,7226017461332435
2021-12-20 12:30:00+00:00;AUDNZD;6;1,0578399896621704;M30;;2021-12-15 19:00:00+00:00;higher_high;1,0598956835797044;2021-12-17 21:30:00+00:00;higher_low;1,0537548825226644
2021-12-20 12:30:00+00:00;AUDJPY;6;80,65399932861328;M30;;2021-12-16 13:30:00+00:00;higher_high;82,44365803410014;2021-12-16 19:30:00+00:00;higher_low;81,39242438989777
2021-12-20 12:30:00+00:00;AUDCHF;6;0,6556199789047241;M30;;2021-12-14 03:30:00+00:00;lower_low;0,6535471614285577;2021-12-16 12:00:00+00:00;higher_high;0,6675439440686788
2021-12-20 12:30:00+00:00;AUDCAD;6;0,9182699918746948;M30;;2021-12-17 07:30:00+00:00;higher_low;0,9146661077442756;2021-12-17 19:30:00+00:00;lower_high;0,9197843004713828
2021-12-20 13:15:00+00:00;USDJPY;6;113,55799865722656;M15;;2021-12-17 13:00:00+00:00;lower_low;113,10086042473438;2021-12-17 21:00:00+00:00;lower_high;113,77419251907362
2021-12-20 13:15:00+00:00;USDCHF;3;0,923609972000122;M15;SELL;2021-12-16 05:15:00+00:00;lower_high;0,9257147861677906;2021-12-17 09:45:00+00:00;lower_low;0,916725937408324
